|carpeta|codigo|nivel|propuesta|archivos|resol
0|001- MAE Politicas y Administracion de la Educacion|P00001|MAE|Politicas y Administracion de la Educacion|01- RCS 005-16 - UNTREF.pdf|RCS 005-16
1|001- MAE Politicas y Administracion de la Educacion|P00001|MAE|Politicas y Administracion de la Educacion|01- RCS 395-98 - Creacion PAE.pdf|RCS 395-98
2|001- MAE Politicas y Administracion de la Educacion|P00001|MAE|Politicas y Administracion de la Educacion|02- RES 092-08 - CONEAU Maestria PAE.pdf|RES 092-08
3|001- MAE Politicas y Administracion de la Educacion|P00001|MAE|Politicas y Administracion de la Educacion|02- RES 308-08 - CONEAU.pdf|RES 308-08
4|001- MAE Politicas y Administracion de la Educacion|P00001|MAE|Politicas y Administracion de la Educacion|02- RES 347-13 - Categoria B - CONEAU.pdf|RES 347-13
5|001- MAE Politicas y Administracion de la Educacion|P00001|MAE|Politicas y Administracion de la Educacion|02- RES 408-99 - CONEAU.pdf|RES 408-99
6|001- MAE Politicas y Administracion de la Educacion|P00001|MAE|Politicas y Administracion de la Educacion|03- RM 1662-99 - MINISTERIO.pdf|RM 1662-99
7|001- MAE Politicas y Administracion de la Educacion|P00001|MAE|Politicas y Administracion de la Educacion|03- RM 3350-17 - MINISTERIO.pdf|RM 3350-17
8|002- MAE Generacion y Analisis de Informacion Estadistica|P00002|MAE|Generacion y Analisis de Informacion Estadistica|01- RCS 012-02 - UNTREF Resol de Creacion.pdf|RCS 012-02
9|002- MAE Generacion y Analisis de Informacion Estadistica|P00002|MAE|Generacion y Analisis de Informacion Estadistica|01- RCS 033-15 - Modificacion plan de estudios.pdf|RCS 033-15
10|002- MAE Generacion y Analisis de Informacion Estadistica|P00002|MAE|Generacion y Analisis de Informacion Estadistica|01- RCS 036-11 - UNTREF  Modificacion Creacion - Plan - Regl.pdf|RCS 036-11
11|002- MAE Generacion y Analisis de Informacion Estadistica|P00002|MAE|Generacion y Analisis de Informacion Estadistica|02- RES 064-03 - CONEAU Acreditacion 2003.pdf|RES 064-03
12|002- MAE Generacion y Analisis de Informacion Estadistica|P00002|MAE|Generacion y Analisis de Informacion Estadistica|02- RES 988-12 - CONEAU.pdf|RES 988-12
13|002- MAE Generacion y Analisis de Informacion Estadistica|P00002|MAE|Generacion y Analisis de Informacion Estadistica|03- RME 1027-03 - MINISTERIO Mg Generacion y Analisis Info Estad.pdf|RME 1027-03
14|002- MAE Generacion y Analisis de Informacion Estadistica|P00002|MAE|Generacion y Analisis de Informacion Estadistica|03- RME 579-19 - Maes Estadística.pdf|RME 579-19
15|003- MAE Relaciones Comerciales Internacionales|P00003|MAE|Relaciones Comerciales Internacionales|01- RCS 025-18 - Modif. Plan RCI.pdf|RCS 025-18
16|003- MAE Relaciones Comerciales Internacionales|P00003|MAE|Relaciones Comerciales Internacionales|01- RCS 399-98 - Creac, Plan.pdf|RCS 399-98
17|003- MAE Relaciones Comerciales Internacionales|P00003|MAE|Relaciones Comerciales Internacionales|02- RES 658-11 - NO ACREDITA.pdf|RES 658-11
18|003- MAE Relaciones Comerciales Internacionales|P00003|MAE|Relaciones Comerciales Internacionales|02- RES 672-04 - CONEAU Mg RCI.pdf|RES 672-04
19|003- MAE Relaciones Comerciales Internacionales|P00003|MAE|Relaciones Comerciales Internacionales|02- RES 842-12 - Mg RCI Reconsideracion.pdf|RES 842-12
20|003- MAE Relaciones Comerciales Internacionales|P00003|MAE|Relaciones Comerciales Internacionales|03- RME 1491-99 - Mg Relac Com Internac.pdf|RME 1491-99
21|004- MAE Epistemologia e Historia de la Ciencia|P00004|MAE|Epistemologia e Historia de la Ciencia|01- RCS 035-02 - Modif. Plan - MAE EHC.pdf|RCS 035-02
22|004- MAE Epistemologia e Historia de la Ciencia|P00004|MAE|Epistemologia e Historia de la Ciencia|01- RCS 394-98 - Crea. Plan - MAE EHC.pdf|RCS 394-98
23|004- MAE Epistemologia e Historia de la Ciencia|P00004|MAE|Epistemologia e Historia de la Ciencia|02- RES 206-09 - Maestria EHC.pdf|RES 206-09
24|004- MAE Epistemologia e Historia de la Ciencia|P00004|MAE|Epistemologia e Historia de la Ciencia|02- RES 613-10 - Mg EHC.pdf|RES 613-10
25|004- MAE Epistemologia e Historia de la Ciencia|P00004|MAE|Epistemologia e Historia de la Ciencia|02- RES 683-99 - Mg EHC.pdf|RES 683-99
26|004- MAE Epistemologia e Historia de la Ciencia|P00004|MAE|Epistemologia e Historia de la Ciencia|03- RME 1320-99 - MAE EHC.pdf|RME 1320-99
27|005- MAE Metodologia de la Investigacion Social|P00005|MAE|Metodologia de la Investigacion Social|01- RCS 011-00 - Creacion.pdf|RCS 011-00
28|005- MAE Metodologia de la Investigacion Social|P00005|MAE|Metodologia de la Investigacion Social|02- RES 191-16 - No acreditacion CONEAU.pdf|RES 191-16
29|005- MAE Metodologia de la Investigacion Social|P00005|MAE|Metodologia de la Investigacion Social|02- RES 612-05 - Mg MIS.pdf|RES 612-05
30|005- MAE Metodologia de la Investigacion Social|P00005|MAE|Metodologia de la Investigacion Social|03- RME 160-11 - Mag Metodolog Inv Social.pdf|RME 160-11
31|006- MAE Historia|P00006|MAE|Historia|01- RCS 005-00 - UNTREF Creacion Plan.pdf|RCS 005-00
32|006- MAE Historia|P00006|MAE|Historia|01- RCS 006-08 - Modif. Regla. MA Historia.pdf|RCS 006-08
33|006- MAE Historia|P00006|MAE|Historia|01- RCS 028-07 - Reglamento.pdf|RCS 028-07
34|006- MAE Historia|P00006|MAE|Historia|01- RCS 029-05 - Modif. denominacion Asig. - MA y DOC Historia - sin plan.pdf|RCS 029-05
35|006- MAE Historia|P00006|MAE|Historia|01- RCS 043-13 - Modif. reglamento.pdf|RCS 043-13
36|006- MAE Historia|P00006|MAE|Historia|02- RES 1283-15 - CONEAU.pdf|RES 1283-15
37|006- MAE Historia|P00006|MAE|Historia|02- RES 286-08 - CONEAU Acreditación Maestria en Historia.pdf|RES 286-08
38|006- MAE Historia|P00006|MAE|Historia|02- RES 291-01 - CONEAU Maestria en Historia.pdf|RES 291-01
39|006- MAE Historia|P00006|MAE|Historia|02- RES 589-07 - CONEAU Maestria en Historia.PDF|RES 589-07
40|006- MAE Historia|P00006|MAE|Historia|03- RME 2246-18 - MAG. EN HISTORIA.pdf|RME 2246-18
41|007- MAE Integracion Latinoamericana|P00007|MAE|Integracion Latinoamericana|01- RCS 003-09 - Modif Plan MAE en Int. Latinoamericana.pdf|RCS 003-09
42|007- MAE Integracion Latinoamericana|P00007|MAE|Integracion Latinoamericana|01- RCS 010-10 - Modif plan de estudios.pdf|RCS 010-10
43|007- MAE Integracion Latinoamericana|P00007|MAE|Integracion Latinoamericana|01- RCS 026-18 - Modif. Plan y Regla. MIL.pdf|RCS 026-18
44|007- MAE Integracion Latinoamericana|P00007|MAE|Integracion Latinoamericana|01- RCS 397-98 - Creac. Plan MAE en Int. Latinoamericana.pdf|RCS 397-98
45|007- MAE Integracion Latinoamericana|P00007|MAE|Integracion Latinoamericana|02- RES 1048-11 - CONEAU.pdf|RES 1048-11
46|007- MAE Integracion Latinoamericana|P00007|MAE|Integracion Latinoamericana|02- RES 224-00 - Mg MIL.pdf|RES 224-00
47|007- MAE Integracion Latinoamericana|P00007|MAE|Integracion Latinoamericana|02- RES 276-19 - CONEAU 6 anos.pdf|RES 276-19
48|007- MAE Integracion Latinoamericana|P00007|MAE|Integracion Latinoamericana|03- RME 1494-99 - Mg Integrac Latinoam.pdf|RME 1494-99
49|008- MAE Derecho del Trabajo y Relaciones Laborales Internacionales|P00008|MAE|Derecho del Trabajo y Relaciones Laborales Internacionales|01- RCS 010-09 - UNTREF - Modif. Plan.pdf|RCS 010-09
50|008- MAE Derecho del Trabajo y Relaciones Laborales Internacionales|P00008|MAE|Derecho del Trabajo y Relaciones Laborales Internacionales|01- RCS 011-08 - Modif Plan.pdf|RCS 011-08
51|008- MAE Derecho del Trabajo y Relaciones Laborales Internacionales|P00008|MAE|Derecho del Trabajo y Relaciones Laborales Internacionales|01- RCS 015-02 - UNTREF - Creación Plan.pdf|RCS 015-02
52|008- MAE Derecho del Trabajo y Relaciones Laborales Internacionales|P00008|MAE|Derecho del Trabajo y Relaciones Laborales Internacionales|02- RES 020-04 - CONEAU.pdf|RES 020-04
53|008- MAE Derecho del Trabajo y Relaciones Laborales Internacionales|P00008|MAE|Derecho del Trabajo y Relaciones Laborales Internacionales|02- RES 319-10 - CONEAU.pdf|RES 319-10
54|008- MAE Derecho del Trabajo y Relaciones Laborales Internacionales|P00008|MAE|Derecho del Trabajo y Relaciones Laborales Internacionales|03- RME 743-04 - MINISTERIO.pdf|RME 743-04
55|009- MAE Diversidad Cultural|P00009|MAE|Diversidad Cultural|01- RCS 021-03 - Plan.pdf|RCS 021-03
56|009- MAE Diversidad Cultural|P00009|MAE|Diversidad Cultural|01- RCS 030-05 - Optimizacion Curricular DIV CULT.pdf|RCS 030-05
57|009- MAE Diversidad Cultural|P00009|MAE|Diversidad Cultural|02- RES 247-14 - CONEAU.pdf|RES 247-14
